Antigen,Vendor,Cat_Number
Anti-human CD45RA (clone HI100),Biolegend,Cat#:304102; RRID: AB_314406
Anti-human CD123 (clone 6H6),Biolegend,Cat#:306002; RRID: AB_314576
Anti-human CD16 (clone 3G8),Biolegend,Cat#:302014; RRID: AB_314202
Anti-human CD56 (clone B159),BD Biosciences,Cat#:555513; RRID: AB_395903
Anti-human CD3 (clone UCHT1),Biolegend,Cat#:300402; RRID: AB_314056
Anti-human CD4 (clone RPA-T4),Biolegend,Cat#:300502; RRID: AB_314070
Anti-human CD8 (clone RPA-T8) – 146Nd,Biolegend,Cat#:301002; RRID: AB_314120
CD39 anti-human purified (clone A1),Biolegend,Cat#: 328202; RRID: AB_940438
CD279 (PD-1) anti-human purified (clone EH12.2H7),Biolegend,Cat#: 329902; RRID: AB_940488
Anti-human CD127 (clone A019D5),Biolegend,Cat#:351302; RRID: AB_10718513
Anti-human CD64 (clone 10.1),Biolegend,Cat#:305016; RRID: AB_2103461
Anti-human CD11c (clone Bu15),Biolegend,Cat#:337202; RRID: AB_1236381
Anti-human CD11b (clone ICRF44),Fluidigm,Cat#:3209003B; RRID: AB_2687654
Anti-human CD66b (clone G10F5),Biolegend,Cat#:305102; RRID: AB_314494
Anti-human CD206 (clone 15-2),Biolegend,Cat#:321102; RRID: AB_571923
CD10 anti-human purified (clone HI10a),Biolegend,Cat#: 312202; RRID: AB_314913
Anti-human CD14 (clone M5E2),Biolegend,Cat#:301810; RRID: AB_314192
Anti-human HLA-DR (clone L243),Biolegend,Cat#:307602; RRID: AB_314680
Anti-human CD1c (clone L161),Biolegend,Cat#:331502; RRID: AB_1088995
